SpatialDimValueCode,Period,FactValueNumeric_alcohol,FactValueNumeric
BRB,2018,10.03,0.31
WSM,2018,1.91,14.8
MMR,2018,1.93,2.96
TZA,2017,5.33,8.15
MEX,2017,4.59,5.89
CUB,2017,4.68,10.53
BEN,2017,4.94,13.11
KGZ,2017,4.87,9.23
PHL,2017,4.88,2.63
GUY,2017,5.22,39.86
NAM,2017,5.2,15.22
PRY,2017,5.21,6.13
URY,2017,5.24,18.54
BIH,2017,5.27,8.07
NOR,2017,6.02,10.38
CPV,2017,5.44,16.16
CHN,2017,5.54,6.89
DOM,2017,5.53,6.02
UKR,2017,5.52,16.94
TTO,2017,5.63,8.96
COG,2017,5.7,11.89
PER,2017,5.73,2.74
AGO,2017,5.76,12.36
SUR,2017,5.91,25.37
ALB,2017,4.4,4.11
LBR,2017,2.87,7.56
NGA,2017,3.01,7.06
STP,2017,4.26,2.19
PRK,2017,3.43,8.65
BLZ,2017,6.17,7.71
TKM,2017,2.98,6.23
BOL,2017,3.05,7.17
BDI,2017,3.12,12.46
HTI,2017,3.07,11.45
LSO,2017,3.08,96.29
ZMB,2017,3.22,16.67
CRI,2017,3.28,5.79
GNB,2017,3.33,13.09
JAM,2017,3.42,2.19
COL,2017,4.27,4.5
VEN,2017,3.37,2.24
VNM,2017,3.37,7.5
MLI,2017,3.56,8.04
KAZ,2017,3.81,21.19
NIC,2017,3.8,4.73
ARM,2017,3.95,2.43
MKD,2017,3.9,7.23
CMR,2017,4.07,16.15
KHM,2017,4.22,5.64
CHL,2017,6.14,8.39
MNG,2017,7.72,19.11
PAN,2017,6.24,3.21
NZL,2017,9.07,12.14
KOR,2017,7.85,19.31
CAN,2017,8.13,11.68
GRD,2017,8.32,0.67
NLD,2017,8.31,9.61
FIN,2017,8.39,14.4
MLT,2017,8.94,4.83
USA,2017,8.91,14.41
CHE,2017,9.2,10.37
MDA,2017,6.25,12.44
BEL,2017,9.31,14.59
DNK,2017,9.32,8.28
BHS,2017,9.42,3.28
MNE,2017,9.56,16.27
AUS,2017,9.6,11.79
LCA,2017,9.68,7.06
GBR,2017,9.78,7.24
BLR,2017,9.86,18.46
SVK,2017,9.88,9.55
CYP,2017,7.93,3.28
ARG,2017,7.94,8.69
VCT,2017,7.68,0.0
ISL,2017,7.65,11.66
BRA,2017,6.41,6.19
GNQ,2017,6.44,13.16
JPN,2017,6.48,13.51
GRC,2017,6.78,3.79
THA,2017,6.77,7.49
BWA,2017,6.86,22.32
GAB,2017,6.96,13.85
MUS,2017,6.96,9.59
UGA,2017,6.95,10.34
SWZ,2017,7.07,42.91
GEO,2017,7.08,8.07
SWE,2017,7.13,12.5
BFA,2017,7.15,14.85
LAO,2017,7.17,6.2
ZAF,2017,7.3,25.84
ITA,2017,7.43,4.84
RUS,2017,7.37,24.41
SRB,2017,7.4,0.33
ECU,2017,3.02,9.26
TUR,2017,1.28,2.26
IND,2017,2.93,12.48
NPL,2017,0.78,9.63
MAR,2017,0.42,7.27
TLS,2017,0.37,4.4
AZE,2017,0.53,3.91
OMN,2017,0.46,4.53
DZA,2017,0.57,2.54
TCD,2017,0.58,13.77
MYS,2017,0.65,5.57
BRN,2017,0.66,3.25
MDG,2017,0.71,9.33
ERI,2017,0.89,18.0
SEN,2017,0.3,11.37
RWA,2017,0.93,9.62
TJK,2017,0.88,5.29
QAT,2017,1.0,4.61
COD,2017,1.13,12.04
GMB,2017,1.06,9.83
SLB,2017,1.09,17.81
TGO,2017,1.08,15.4
LBN,2017,1.2,2.99
TON,2017,0.31,4.78
JOR,2017,0.31,1.87
PNG,2017,1.25,3.5
BTN,2017,0.066,5.14
FJI,2017,2.79,9.91
BGD,2017,0.004,3.68
KWT,2017,0.0,2.5
LBY,2017,0.007,5.48
MRT,2017,0.0,5.38
SAU,2017,0.0,5.74
SOM,2017,0.0,14.87
SDN,2017,0.001,4.8
YEM,2017,0.018,6.86
IDN,2017,0.081,2.58
GIN,2017,0.33,12.47
NER,2017,0.11,10.15
PAK,2017,0.058,9.98
COM,2017,0.18,8.58
EGY,2017,0.15,3.39
IRN,2017,0.16,5.8
IRQ,2017,0.16,5.17
SLE,2017,0.18,10.94
SYR,2017,0.15,1.98
DJI,2017,0.32,12.32
MDV,2017,1.23,3.11
KIR,2017,0.4,31.51
AFG,2017,0.014,5.95
HUN,2017,11.15,12.62
IRL,2017,11.19,9.33
BGR,2017,11.31,6.65
LUX,2017,11.33,7.53
LTU,2017,11.48,23.49
AUT,2017,11.63,10.77
FRA,2017,11.56,10.4
LVA,2017,12.37,17.14
CZE,2017,12.87,11.2
EST,2017,13.17,15.17
SYC,2017,13.8,7.93
ARE,2017,2.15,4.78
KEN,2017,2.29,10.6
ISR,2017,2.52,4.96
UZB,2017,2.54,8.92
LKA,2017,2.59,13.67
HND,2017,2.68,2.71
ZWE,2017,2.68,25.85
MOZ,2017,1.43,23.09
DEU,2017,11.11,8.34
SLV,2017,2.8,6.16
ATG,2017,10.87,0.0
CIV,2017,1.86,16.37
CAF,2017,1.46,25.73
